,pl_orbper,pl_rade,pl_tranmid,pl_trandep,st_teff,st_rad,st_logg,ra,dec,target
8561,23.59919017,,2454967.2797605,,,,,291.92896,45.231838,1
8562,8.429438192,49.49,2454965.2922535,456350.0,4268.0,0.68,4.602,286.81927,46.66478,0
8563,299.70688,1.15,2455193.3939,230.7,5606.0,0.76,4.597,287.02615,46.686291,1
8564,14.461834,1.05,2454970.2566,80.2,5457.0,1.196,4.239,294.29364,46.629501,1
8565,7.9320191,1.04,2454969.4321,125.1,5219.0,0.905,4.441,298.0549,46.633461,0
8566,1.374249107,96.85,2454964.662968,136660.0,7053.0,2.121,3.958,298.59238,46.690529,0
8567,8.4804737,1.85,2454968.834,337.0,6092.0,0.998,4.471,298.73502,46.699791,0
8568,0.94242156,,2454965.1165604,,,,,299.07486,46.65892,0
8569,4.994773558,62.69,2454969.1744922,259760.0,6253.0,1.181,4.271,282.69977,46.717018,0
8570,1.105094098,267.59,2454965.5461998,730500.0,8011.0,2.927,3.773,293.84622,48.050251,0
8571,6.842939,,2454970.0596,,,,,293.94763,48.065254,2
8572,0.8170226,57.56,2454965.022858,167700.0,5780.0,1.0,4.438,296.38348,48.044006,0
8573,4.48538145,0.96,2454968.29081,168.1,5654.0,0.737,4.607,298.60785,48.016022,1
8574,19.40669392,57.97,2454982.807826,464520.0,5622.0,0.778,4.588,299.07828,48.021969,0
8575,7.143708297,44.78,2454970.8041949,202680.0,5655.0,0.992,4.386,290.61478,48.186771,0
8576,0.952377862,28.44,2454965.335117,2122.3,5662.0,0.863,4.524,290.68866,48.1992,0
8577,3.521050679,256.2,2454967.218545,4879.8,5149.0,6.619,3.109,296.47855,48.14616,0
8578,4.84847245,1.51,2454964.90954,554.7,4137.0,0.647,4.625,297.30438,48.195271,1
8579,1.941635737,59.71,2454966.1097354,69814.0,6525.0,1.161,4.381,293.68073,50.300259,0
8580,0.539445498,68.65,2454964.898299,25302.0,6486.0,1.456,4.174,294.35016,50.35146,0
8581,20.7106853,89.55,2454967.03192,1003.0,6956.0,2.888,3.738,295.21255,50.31691,0
